Date,Sydney (Hmax),Sydney (Hs)
2022-02-24 12:00:00,2.750,1.696
2022-02-24 13:00:00,2.710,1.582
2022-02-24 14:00:00,2.690,1.622
2022-02-24 15:00:00,3.110,1.610
2022-02-24 16:00:00,2.590,1.511
2022-02-24 17:00:00,2.800,1.563
2022-02-24 18:00:00,2.750,1.645
2022-02-24 19:00:00,2.940,1.688
2022-02-24 20:00:00,2.350,1.639
2022-02-24 21:00:00,3.420,1.632
2022-02-24 22:00:00,2.740,1.700
2022-02-24 23:00:00,3.920,1.596
2022-02-25 00:00:00,3.130,1.676
2022-02-25 01:00:00,3.890,1.563
2022-02-25 02:00:00,2.680,1.563
2022-02-25 03:00:00,2.780,1.530
2022-02-25 04:00:00,2.680,1.565
2022-02-25 05:00:00,2.760,1.607
2022-02-25 06:00:00,2.660,1.612
2022-02-25 12:00:00,3.070,1.659
2022-02-25 13:00:00,2.460,1.645
2022-02-25 14:00:00,2.660,1.577
2022-02-25 15:00:00,2.890,1.563
2022-02-25 16:00:00,2.900,1.561
2022-02-25 17:00:00,2.790,1.462
2022-02-25 18:00:00,2.500,1.396
2022-02-25 19:00:00,2.310,1.442
2022-02-25 20:00:00,2.860,1.496
2022-02-25 21:00:00,2.360,1.413
2022-02-25 22:00:00,1.970,1.333
2022-02-25 23:00:00,2.590,1.390
2022-02-26 00:00:00,2.190,1.293
2022-02-26 01:00:00,2.070,1.249
2022-02-26 02:00:00,2.160,1.266
2022-02-26 03:00:00,2.410,1.309
2022-02-26 04:00:00,2.290,1.229
2022-02-26 05:00:00,2.770,1.395
2022-02-26 06:00:00,2.380,1.351
2022-02-26 07:00:00,2.230,1.320
2022-02-26 08:00:00,2.210,1.388
2022-02-26 09:00:00,2.740,1.243
2022-02-26 10:00:00,2.320,1.281
2022-02-26 11:00:00,1.900,1.277
2022-02-26 12:00:00,2.220,1.305
2022-02-26 13:00:00,2.370,1.365
2022-02-26 14:00:00,2.260,1.322
2022-02-26 15:00:00,2.150,1.289
2022-02-26 16:00:00,2.120,1.297
2022-02-26 17:00:00,1.960,1.188
2022-02-26 18:00:00,1.990,1.149
2022-02-26 19:00:00,2.340,1.228
2022-02-26 20:00:00,2.540,1.290
2022-02-26 21:00:00,2.470,1.446
2022-02-26 22:00:00,2.560,1.502
2022-02-26 23:00:00,2.950,1.610
2022-02-27 00:00:00,3.300,1.594
2022-02-27 01:00:00,2.950,1.666
2022-02-27 02:00:00,3.160,1.605
2022-02-27 03:00:00,3.170,1.718
2022-02-27 04:00:00,2.780,1.682
2022-02-27 05:00:00,3.340,1.785
2022-02-27 06:00:00,2.550,1.599
2022-02-27 07:00:00,2.850,1.696
2022-02-27 08:00:00,3.030,1.785
2022-02-27 09:00:00,3.020,1.880
2022-02-27 10:00:00,3.410,1.929
2022-02-27 11:00:00,3.610,1.901
2022-02-27 12:00:00,3.090,1.975
2022-02-27 13:00:00,2.990,1.795
2022-02-27 14:00:00,3.050,1.803
2022-02-27 15:00:00,3.000,1.783
2022-02-27 16:00:00,2.860,1.751
2022-02-27 17:00:00,3.180,1.878
2022-02-27 18:00:00,3.080,1.782
2022-02-27 19:00:00,2.740,1.557
2022-02-27 20:00:00,2.840,1.780
2022-02-27 21:00:00,3.510,2.043
2022-02-27 22:00:00,2.850,1.942
2022-02-27 23:00:00,3.510,1.850
2022-02-28 00:00:00,3.030,1.836
2022-02-28 01:00:00,3.150,1.788
2022-02-28 02:00:00,3.610,1.733
2022-02-28 03:00:00,3.430,1.830
2022-02-28 04:00:00,2.840,1.708
2022-02-28 05:00:00,3.660,1.647
2022-02-28 06:00:00,2.930,1.643
2022-02-28 07:00:00,2.960,1.777
2022-02-28 08:00:00,2.710,1.642
2022-02-28 09:00:00,3.550,1.864
2022-02-28 10:00:00,3.280,1.855
2022-02-28 11:00:00,3.280,1.690
2022-02-28 12:00:00,3.100,1.842
2022-02-28 13:00:00,3.590,1.842
2022-02-28 14:00:00,2.920,1.825
2022-02-28 15:00:00,2.690,1.684
2022-02-28 16:00:00,2.830,1.665
2022-02-28 17:00:00,3.060,1.625
2022-02-28 18:00:00,2.580,1.656
2022-02-28 19:00:00,2.780,1.604
2022-02-28 20:00:00,2.970,1.646
2022-02-28 21:00:00,2.510,1.565
