#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 02 01 00 00 00 1 4595.392
2022 01 31 23 45 00 1 4595.424
2022 01 31 23 30 00 1 4595.447
2022 01 31 23 15 00 1 4595.460
2022 01 31 23 00 00 1 4595.462
2022 01 31 22 45 00 1 4595.452
2022 01 31 22 30 00 1 4595.431
2022 01 31 22 15 00 1 4595.400
2022 01 31 22 00 00 1 4595.358
2022 01 31 21 45 00 1 4595.306
2022 01 31 21 30 00 1 4595.243
2022 01 31 21 15 00 1 4595.170
2022 01 31 21 00 00 1 4595.091
2022 01 31 20 45 00 1 4595.002
2022 01 31 20 30 00 1 4594.908
2022 01 31 20 15 00 1 4594.809
2022 01 31 20 00 00 1 4594.707
2022 01 31 19 45 00 1 4594.602
2022 01 31 19 30 00 1 4594.499
2022 01 31 19 15 00 1 4594.395
2022 01 31 19 00 00 1 4594.293
2022 01 31 18 45 00 1 4594.193
2022 01 31 18 30 00 1 4594.098
2022 01 31 18 15 00 1 4594.008
2022 01 31 18 00 00 1 4593.922
2022 01 31 17 45 00 1 4593.842
2022 01 31 17 30 00 1 4593.771
2022 01 31 17 15 00 1 4593.709
2022 01 31 17 00 00 1 4593.658
2022 01 31 16 45 00 1 4593.614
2022 01 31 16 30 00 1 4593.583
2022 01 31 16 15 00 1 4593.561
2022 01 31 16 00 00 1 4593.552
2022 01 31 15 45 00 1 4593.555
2022 01 31 15 30 00 1 4593.569
2022 01 31 15 15 00 1 4593.591
2022 01 31 15 00 00 1 4593.627
2022 01 31 14 45 00 1 4593.670
2022 01 31 14 30 00 1 4593.719
2022 01 31 14 15 00 1 4593.774
2022 01 31 14 00 00 1 4593.835
2022 01 31 13 45 00 1 4593.901
2022 01 31 13 30 00 1 4593.969
2022 01 31 13 15 00 1 4594.037
2022 01 31 13 00 00 1 4594.108
2022 01 31 12 45 00 1 4594.179
2022 01 31 12 30 00 1 4594.250
2022 01 31 12 15 00 1 4594.319
2022 01 31 12 00 00 1 4594.385
2022 01 31 11 45 00 1 4594.450
2022 01 31 11 30 00 1 4594.509
2022 01 31 11 15 00 1 4594.564
2022 01 31 11 00 00 1 4594.611
2022 01 31 10 45 00 1 4594.651
2022 01 31 10 30 00 1 4594.684
2022 01 31 10 15 00 1 4594.708
2022 01 31 10 00 00 1 4594.725
2022 01 31 09 45 00 1 4594.732
2022 01 31 09 30 00 1 4594.732
2022 01 31 09 15 00 1 4594.726
2022 01 31 09 00 00 1 4594.713
2022 01 31 08 45 00 1 4594.695
