Date,Sydney (TP1),Sydney (Tz)
2022-02-28 20:00:00,10.270,6.320
2022-02-28 21:00:00,9.770,6.130
2022-02-28 22:00:00,8.900,5.770
2022-02-28 23:00:00,10.270,5.720
2022-03-01 00:00:00,8.900,5.840
2022-03-01 01:00:00,10.270,5.890
2022-03-01 02:00:00,9.320,5.460
2022-03-01 03:00:00,10.830,5.610
2022-03-01 04:00:00,10.270,5.800
2022-03-01 05:00:00,9.320,6.030
2022-03-01 06:00:00,9.320,5.950
2022-03-01 07:00:00,9.320,5.720
2022-03-01 08:00:00,9.770,5.800
2022-03-01 09:00:00,9.770,5.860
2022-03-01 10:00:00,10.270,5.950
2022-03-01 11:00:00,9.770,5.900
2022-03-01 12:00:00,10.830,5.600
2022-03-01 13:00:00,10.270,5.870
2022-03-01 14:00:00,9.320,5.790
2022-03-01 15:00:00,9.770,5.760
2022-03-01 16:00:00,6.560,5.690
2022-03-01 17:00:00,9.770,5.790
2022-03-01 18:00:00,10.270,6.140
2022-03-01 19:00:00,10.830,6.210
2022-03-01 20:00:00,9.770,6.300
2022-03-01 21:00:00,9.770,6.350
2022-03-01 22:00:00,9.770,6.860
2022-03-01 23:00:00,10.830,6.560
2022-03-02 00:00:00,10.830,6.630
2022-03-02 01:00:00,10.830,6.730
2022-03-02 02:00:00,10.270,6.330
2022-03-02 03:00:00,10.830,6.440
2022-03-02 04:00:00,10.270,6.400
2022-03-02 05:00:00,10.270,6.610
2022-03-02 06:00:00,10.270,6.790
2022-03-02 07:00:00,10.830,6.850
2022-03-02 08:00:00,10.830,7.040
2022-03-02 09:00:00,10.830,6.830
2022-03-02 10:00:00,11.450,7.420
2022-03-02 11:00:00,11.450,7.330
2022-03-02 12:00:00,10.270,7.250
2022-03-02 13:00:00,11.450,7.260
2022-03-02 14:00:00,11.450,7.390
2022-03-02 15:00:00,12.140,7.470
2022-03-02 16:00:00,12.140,7.550
2022-03-02 17:00:00,12.930,8.310
2022-03-02 18:00:00,12.930,8.130
2022-03-02 19:00:00,13.820,8.620
2022-03-02 20:00:00,13.820,8.890
2022-03-02 21:00:00,12.930,7.910
2022-03-02 22:00:00,12.140,8.230
2022-03-02 23:00:00,12.140,8.650
2022-03-03 00:00:00,12.930,8.230
2022-03-03 01:00:00,13.820,8.300
2022-03-03 02:00:00,13.820,8.290
2022-03-03 03:00:00,12.930,8.120
2022-03-03 04:00:00,12.930,8.190
2022-03-03 05:00:00,13.820,8.740
2022-03-03 06:00:00,13.820,8.340
2022-03-03 07:00:00,13.820,8.710
2022-03-03 08:00:00,14.850,8.270
2022-03-03 09:00:00,13.820,8.150
2022-03-03 10:00:00,13.820,8.500
2022-03-03 11:00:00,13.820,8.440
2022-03-03 12:00:00,13.820,8.530
2022-03-03 13:00:00,13.820,8.600
2022-03-03 14:00:00,12.930,8.130
2022-03-03 15:00:00,12.930,8.330
2022-03-03 16:00:00,12.930,8.320
2022-03-03 17:00:00,12.930,7.980
2022-03-03 18:00:00,13.820,7.720
2022-03-03 19:00:00,12.930,8.310
2022-03-03 20:00:00,13.820,8.330
2022-03-03 21:00:00,13.820,8.580
2022-03-03 22:00:00,12.140,8.110
2022-03-03 23:00:00,12.930,8.160
2022-03-04 00:00:00,11.450,7.860
2022-03-04 01:00:00,12.140,7.880
2022-03-04 02:00:00,13.820,8.130
2022-03-04 03:00:00,13.820,7.910
2022-03-04 04:00:00,13.820,7.450
2022-03-04 05:00:00,13.820,8.010
2022-03-04 06:00:00,13.820,8.130
2022-03-04 07:00:00,13.820,8.300
2022-03-04 08:00:00,12.930,8.110
2022-03-04 09:00:00,12.140,7.660
2022-03-04 10:00:00,12.930,8.290
2022-03-04 11:00:00,12.930,8.310
2022-03-04 12:00:00,12.930,8.270
2022-03-04 13:00:00,12.140,8.310
2022-03-04 14:00:00,12.140,8.550
2022-03-04 15:00:00,12.140,8.230
2022-03-04 16:00:00,12.140,8.470
2022-03-04 17:00:00,11.450,8.680
2022-03-04 18:00:00,12.140,8.420
2022-03-04 19:00:00,12.930,8.840
2022-03-04 20:00:00,12.930,8.720
2022-03-04 21:00:00,12.930,9.400
2022-03-04 22:00:00,12.930,9.670
2022-03-04 23:00:00,12.930,9.250
2022-03-05 00:00:00,12.930,9.770
2022-03-05 01:00:00,12.140,9.120
2022-03-05 02:00:00,12.930,9.460
2022-03-05 03:00:00,12.930,9.630
2022-03-05 04:00:00,12.140,9.730
2022-03-05 05:00:00,12.140,9.580
2022-03-05 06:00:00,10.830,9.210
2022-03-05 07:00:00,12.140,9.690
2022-03-05 08:00:00,12.930,9.560
2022-03-05 09:00:00,12.140,9.620
2022-03-05 10:00:00,12.930,9.490
2022-03-05 11:00:00,13.820,9.230
2022-03-05 12:00:00,13.820,9.910
2022-03-05 13:00:00,12.930,9.910
2022-03-05 14:00:00,13.820,8.910
2022-03-05 15:00:00,12.930,8.570
2022-03-05 16:00:00,12.930,7.910
2022-03-05 17:00:00,12.930,7.720
2022-03-05 18:00:00,12.930,6.960
2022-03-05 19:00:00,12.930,7.550
2022-03-05 20:00:00,12.930,7.910
2022-03-05 21:00:00,12.930,8.070
2022-03-05 22:00:00,12.140,7.470
2022-03-05 23:00:00,13.820,7.350
2022-03-06 00:00:00,13.820,7.410
2022-03-06 01:00:00,12.930,8.170
2022-03-06 02:00:00,12.930,7.720
2022-03-06 03:00:00,13.820,7.480
2022-03-06 04:00:00,12.930,7.130
2022-03-06 05:00:00,12.930,6.920
2022-03-06 06:00:00,13.820,7.360
2022-03-06 07:00:00,12.930,7.460
2022-03-06 08:00:00,7.560,7.350
2022-03-06 09:00:00,12.930,7.310
2022-03-06 10:00:00,12.930,7.710
2022-03-06 11:00:00,12.140,7.800
2022-03-06 13:00:00,12.930,7.330
2022-03-06 14:00:00,12.930,7.050
2022-03-06 15:00:00,13.820,7.270
2022-03-06 16:00:00,12.930,7.390
2022-03-06 17:00:00,9.770,8.040
2022-03-06 18:00:00,13.820,8.000
2022-03-06 19:00:00,12.140,7.800
2022-03-06 20:00:00,11.450,7.620
2022-03-06 21:00:00,10.270,7.530
2022-03-06 22:00:00,12.140,7.420
2022-03-06 23:00:00,12.140,6.960
2022-03-07 00:00:00,12.930,7.050
2022-03-07 01:00:00,12.930,6.790
2022-03-07 02:00:00,9.320,6.630
2022-03-07 03:00:00,9.770,6.420
2022-03-07 04:00:00,12.930,6.890
2022-03-07 05:00:00,12.140,7.180
2022-03-07 06:00:00,12.140,7.940
2022-03-07 07:00:00,12.140,8.090
2022-03-07 08:00:00,11.450,8.070
2022-03-07 09:00:00,11.450,7.990
2022-03-07 10:00:00,11.450,8.420
2022-03-07 11:00:00,10.830,8.580
2022-03-07 12:00:00,11.450,7.830
2022-03-07 13:00:00,11.450,8.220
2022-03-07 14:00:00,11.450,7.970
2022-03-07 15:00:00,11.450,8.380
2022-03-07 16:00:00,11.450,7.970
2022-03-07 17:00:00,10.830,7.800

