Date,Sydney (TP1),Sydney (Tz)
2022-02-24 12:00:00,7.560,5.610
2022-02-24 13:00:00,7.280,5.480
2022-02-24 14:00:00,7.850,5.590
2022-02-24 15:00:00,7.560,6.010
2022-02-24 16:00:00,7.280,6.160
2022-02-24 17:00:00,7.030,6.200
2022-02-24 18:00:00,12.140,5.730
2022-02-24 19:00:00,7.560,5.530
2022-02-24 20:00:00,7.280,5.360
2022-02-24 21:00:00,7.560,5.410
2022-02-24 22:00:00,8.170,5.570
2022-02-24 23:00:00,7.850,5.620
2022-02-25 00:00:00,8.520,5.530
2022-02-25 01:00:00,7.560,5.380
2022-02-25 02:00:00,8.170,5.300
2022-02-25 03:00:00,7.850,5.430
2022-02-25 04:00:00,8.170,5.430
2022-02-25 05:00:00,8.520,5.700
2022-02-25 06:00:00,7.560,5.580
2022-02-25 12:00:00,8.520,5.570
2022-02-25 13:00:00,7.850,5.520
2022-02-25 14:00:00,8.900,5.600
2022-02-25 15:00:00,8.520,5.720
2022-02-25 16:00:00,8.520,5.830
2022-02-25 17:00:00,8.520,5.990
2022-02-25 18:00:00,8.520,5.490
2022-02-25 19:00:00,8.900,5.740
2022-02-25 20:00:00,8.900,5.810
2022-02-25 21:00:00,8.520,5.660
2022-02-25 22:00:00,8.900,5.520
2022-02-25 23:00:00,8.170,5.290
2022-02-26 00:00:00,8.900,5.100
2022-02-26 01:00:00,8.520,5.190
2022-02-26 02:00:00,8.520,5.210
2022-02-26 03:00:00,8.170,5.680
2022-02-26 04:00:00,8.900,5.540
2022-02-26 05:00:00,8.520,5.580
2022-02-26 06:00:00,8.900,5.380
2022-02-26 07:00:00,8.520,5.560
2022-02-26 08:00:00,8.900,6.010
2022-02-26 09:00:00,8.520,5.400
2022-02-26 10:00:00,8.520,5.240
2022-02-26 11:00:00,8.900,5.580
2022-02-26 12:00:00,8.520,5.080
2022-02-26 13:00:00,9.320,4.970
2022-02-26 14:00:00,8.900,4.880
2022-02-26 15:00:00,8.900,4.890
2022-02-26 16:00:00,8.900,5.540
2022-02-26 17:00:00,9.320,5.710
2022-02-26 18:00:00,8.520,6.150
2022-02-26 19:00:00,9.320,6.110
2022-02-26 20:00:00,9.320,6.500
2022-02-26 21:00:00,9.320,7.100
2022-02-26 22:00:00,9.320,7.710
2022-02-26 23:00:00,8.900,7.300
2022-02-27 00:00:00,8.900,6.740
2022-02-27 01:00:00,8.900,7.170
2022-02-27 02:00:00,8.900,7.310
2022-02-27 03:00:00,8.520,7.110
2022-02-27 04:00:00,8.900,7.340
2022-02-27 05:00:00,8.900,7.400
2022-02-27 06:00:00,8.520,7.310
2022-02-27 07:00:00,13.820,7.310
2022-02-27 08:00:00,8.900,7.430
2022-02-27 09:00:00,8.900,7.360
2022-02-27 10:00:00,8.900,7.380
2022-02-27 11:00:00,9.320,7.110
2022-02-27 12:00:00,9.320,7.420
2022-02-27 13:00:00,10.270,7.660
2022-02-27 14:00:00,9.770,7.450
2022-02-27 15:00:00,10.270,7.460
2022-02-27 16:00:00,9.770,7.140
2022-02-27 17:00:00,9.770,7.790
2022-02-27 18:00:00,9.320,7.060
2022-02-27 19:00:00,9.770,6.250
2022-02-27 20:00:00,9.770,6.710
2022-02-27 21:00:00,9.320,6.830
2022-02-27 22:00:00,9.770,6.870
2022-02-27 23:00:00,10.270,6.560
2022-02-28 00:00:00,10.270,6.820
2022-02-28 01:00:00,10.270,6.790
2022-02-28 02:00:00,10.270,6.900
2022-02-28 03:00:00,9.770,6.940
2022-02-28 04:00:00,9.770,6.810
2022-02-28 05:00:00,10.270,7.190
2022-02-28 06:00:00,9.770,7.300
2022-02-28 07:00:00,9.770,7.370
2022-02-28 08:00:00,10.270,7.050
2022-02-28 09:00:00,9.770,6.790
2022-02-28 10:00:00,10.270,6.630
