FID,wmo_id,measurement,deploy_no,site_name,LATITUDE,LONGITUDE,TIME,instrument_type,SPCC,BOT_DEPTH,WHTH,SPWP,WMXH,WPMH,VDIR,DSDW,SIF,RDUR,geom
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d87,55036,305098,578,Gold Coast,-27.95,153.43,2020-02-09T23:30:00Z,directional,1,16,1.9,9.4,3,6.8,92,16,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d86,55036,305114,578,Gold Coast,-27.95,153.43,2020-02-10T00:30:00Z,directional,1,16,1.8,9.2,3.6,6.5,100,15,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d85,55036,305122,578,Gold Coast,-27.95,153.43,2020-02-10T01:30:00Z,directional,1,16,1.8,9,2.6,7,104,19,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d84,55036,305138,578,Gold Coast,-27.95,153.43,2020-02-10T02:30:00Z,directional,1,16,1.7,9.3,2.6,6,96,17,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d83,55036,305151,578,Gold Coast,-27.95,153.43,2020-02-10T03:30:00Z,directional,1,16,1.7,9.6,2.6,6.2,96,17,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d82,55036,305160,578,Gold Coast,-27.95,153.43,2020-02-10T04:30:00Z,directional,1,16,1.9,9.2,3.2,6.5,100,24,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d81,55036,305175,578,Gold Coast,-27.95,153.43,2020-02-10T05:30:00Z,directional,1,16,1.8,9.3,3.3,6.1,100,18,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d80,55036,305187,578,Gold Coast,-27.95,153.43,2020-02-10T06:30:00Z,directional,1,16,1.7,9.6,2.7,6.3,100,23,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d7f,55036,305197,578,Gold Coast,-27.95,153.43,2020-02-10T07:30:00Z,directional,1,16,1.8,8.9,2.9,6.3,100,23,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d7e,55036,305213,578,Gold Coast,-27.95,153.43,2020-02-10T09:30:00Z,directional,1,16,1.7,9.3,2.7,6.1,100,20,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d7d,55036,305226,578,Gold Coast,-27.95,153.43,2020-02-10T10:30:00Z,directional,1,16,1.8,9.8,2.9,7,104,17,0.8,1597,POINT (153.43 -27.95)
aodn_wave_nrt_timeseries_data.fid--2efc2349_17055012137_-2d7c,55036,305242,578,Gold Coast,-27.95,153.43,2020-02-10T11:30:00Z,directional,1,16,1.7,9.6,2.9,6.5,108,19,0.8,1597,POINT (153.43 -27.95)
